 iter	year	species	age	number	catch
           1           7           1           4   27186344.0       14495.1514    
           1           7           1           5   4994811.00       3032.66382    
           1           7           1           6   4149849.50       2736.99585    
           1           7           1           7   4681230.50       3306.48291    
           1           7           1           8   4165568.25       3075.92114    
           1           7           1           9   3377683.25       2548.46338    
           1           7           1          10   2444284.75       1889.74036    
           1           7           1          11   1694379.75       1309.22668    
           1           7           1          12   1298385.12       1025.08655    
           1           7           1          13   972128.500       767.841431    
           1           7           1          14   726136.250       578.133545    
           1           7           1          15   521517.156       426.436829    
           1           7           1          16   283921.281       233.891495    
           1           7           1          17   216882.203       179.265656    
           1           7           1          18   139271.391       115.229233    
           1           7           1          19   81025.4922       67.0676575    
           1           7           1          20   61209.0781       50.6747742    
           1           8           1           0   19434802.0                  NaN
           1           8           1           1   23949334.0       3093.30713    
           1           8           1           2   22202958.0       6621.81396    
           1           8           1           3   17689442.0       7951.80029    
           1           8           1           4   8208433.50       4218.52637    
           1           8           1           5   22109116.0       12930.1377    
           1           8           1           6   4058795.00       2635.91382    
           1           8           1           7   3370507.75       2321.94116    
           1           8           1           8   3800658.25       2714.75391    
           1           8           1           9   3381009.50       2480.15796    
           1           8           1          10   2741012.00       2058.91846    
           1           8           1          11   1983441.50       1483.50171    
           1           8           1          12   1374734.12       1053.88367    
           1           8           1          13   1053387.50       806.787354    
           1           8           1          14   788656.938       608.447998    
           1           8           1          15   588974.750       467.539398    
           1           8           1          16   422954.062       338.141327    
           1           8           1          17   230253.594       184.536545    
           1           8           1          18   175883.188       141.114960    
           1           8           1          19   112943.148       90.6570129    
           1           8           1          20   65708.0469       52.7512703    
           1           9           1           0   74269728.0                  NaN
           1           9           1           1   29924760.0       4030.65918    
           1           9           1           2   19555798.0       5992.36768    
           1           9           1           3   18095210.0       8037.05420    
           1           9           1           4   14398258.0       7426.89990    
           1           9           1           5   6676516.00       3869.06519    
           1           9           1           6   17969610.0       11416.9746    
           1           9           1           7   3296727.25       2260.11768    
           1           9           1           8   2736857.75       1933.63831    
           1           9           1           9   3085252.75       2254.13086    
           1           9           1          10   2744132.50       2038.39404    
           1           9           1          11   2224538.50       1650.89417    
           1           9           1          12   1609518.62       1224.24939    
           1           9           1          13   1115482.12       848.709351    
           1           9           1          14   854712.250       653.531555    
           1           9           1          15   639784.938       504.172699    
